"Pat","Var","Net","Nvl","Prf","Pdt","Arg"
"009","0","0","0","0","0","0"
"010","0","0","0","0","0","1"
"011","0","0","0","0","1","0"
"012","0","0","0","0","1","1"
"013","0","0","0","1","0","0"
"014","0","0","0","1","0","1"
"015","0","0","0","1","1","0"
"016","0","0","0","1","1","1"
"017","0","0","1","0","0","0"
"018","0","0","1","0","0","1"
"019","0","0","1","0","1","0"
"020","0","0","1","0","1","1"
"021","0","0","1","1","0","0"
"022","0","0","1","1","0","1"
"023","0","0","1","1","1","0"
"024","0","0","1","1","1","1"
"025","0","1","0","0","0","0"
"026","0","1","0","0","0","1"
"027","0","1","0","0","1","0"
"028","0","1","0","0","1","1"
"029","0","1","0","1","0","0"
"030","0","1","0","1","0","1"
"031","0","1","0","1","1","0"
"032","0","1","0","1","1","1"
"033","0","1","1","0","0","0"
"034","0","1","1","0","0","1"
"035","0","1","1","0","1","0"
"036","0","1","1","0","1","1"
"037","0","1","1","1","0","0"
"038","0","1","1","1","0","1"
"039","0","1","1","1","1","0"
"040","0","1","1","1","1","1"
"041","1","0","0","0","0","0"
"042","1","0","0","0","0","1"
"043","1","0","0","0","1","0"
"044","1","0","0","0","1","1"
"045","1","0","0","1","0","0"
"046","1","0","0","1","0","1"
"047","1","0","0","1","1","0"
"048","1","0","0","1","1","1"
"049","1","0","1","0","0","0"
"050","1","0","1","0","0","1"
"051","1","0","1","0","1","0"
"052","1","0","1","0","1","1"
"053","1","0","1","1","0","0"
"054","1","0","1","1","0","1"
"055","1","0","1","1","1","0"
"056","1","0","1","1","1","1"
"057","1","1","0","0","0","0"
"058","1","1","0","0","0","1"
"059","1","1","0","0","1","0"
"060","1","1","0","0","1","1"
"061","1","1","0","1","0","0"
"062","1","1","0","1","0","1"
"063","1","1","0","1","1","0"
"064","1","1","0","1","1","1"
"065","1","1","1","0","0","0"
"066","1","1","1","0","0","1"
"067","1","1","1","0","1","0"
"068","1","1","1","0","1","1"
"069","1","1","1","1","0","0"
"070","1","1","1","1","0","1"
"071","1","1","1","1","1","0"
"072","1","1","1","1","1","1"
